codigo_ocorrencia2;aeronave_matricula;aeronave_operador_categoria;aeronave_tipo_veiculo;aeronave_fabricante;aeronave_modelo;aeronave_tipo_icao;aeronave_motor_tipo;aeronave_motor_quantidade;aeronave_pmd;aeronave_pmd_categoria;aeronave_assentos;aeronave_ano_fabricacao;aeronave_pais_fabricante;aeronave_pais_registro;aeronave_registro_categoria;aeronave_registro_segmento;aeronave_voo_origem;aeronave_voo_destino;aeronave_fase_operacao;aeronave_tipo_operacao;aeronave_nivel_dano;aeronave_fatalidades_total
82047;PRGXA;Sem Categoria;AVIAO;BOEING COMPANY;737-8EH;B738;JATO;BIMOTOR;70533;70533;199;2013;BRASIL;BRASIL;AVIAO;REGULAR;CAMPO GRANDE;CONGONHAS;DECOLAGEM;REGULAR;NENHUM;0
82045;PRGXX;Sem Categoria;AVIAO;BOEING COMPANY;737-8EH;Nao Informado;JATO;BIMOTOR;70533;70533;187;0;BRASIL;BRASIL;AVIAO;REGULAR;SANTOS DUMONT;AFONSO PENA;APROXIMACAO FINAL;REGULAR;NENHUM;0
82039;PSGPD;Sem Categoria;AVIAO;UNIVAIR AIRCRAFT;108-1;S108;Nao Informado;MONOMOTOR;1012;1012;0;0;BRASIL;BRASIL;AVIAO;REGULAR;PRESIDENTE JUSCELINO KUBITSCHEK;ANTONIO CARLOS JOBIM / GALEAO;APROXIMACAO FINAL;REGULAR;NENHUM;0
82038;PRGXF;Sem Categoria;AVIAO;BOEING COMPANY;737-8EH;B738;JATO;BIMOTOR;70533;70533;199;2013;BRASIL;BRASIL;AVIAO;REGULAR;PRESIDENTE JOAO BATISTA FIGUEIREDO;GOVERNADOR ANDRE FRANCO MONTORO;POUSO;REGULAR;NENHUM;0
82037;PRGXI;Sem Categoria;AVIAO;BOEING COMPANY;737-8EH;B738;JATO;BIMOTOR;70533;70533;199;2013;BRASIL;BRASIL;AVIAO;REGULAR;CONGONHAS;DEPUTADO LUIS EDUARDO MAGALHAES;APROXIMACAO FINAL;REGULAR;NENHUM;0
82036;PRGUM;Sem Categoria;AVIAO;BOEING COMPANY;737-8EH;B738;JATO;BIMOTOR;70533;70533;193;2011;BRASIL;BRASIL;AVIAO;REGULAR;REGIONAL HUGO CANTERGIANI;CONGONHAS;DECOLAGEM;REGULAR;NENHUM;0
82035;PRGUH;Sem Categoria;AVIAO;BOEING COMPANY;737-8EH;B738;JATO;BIMOTOR;79015;79015;187;2011;BRASIL;BRASIL;AVIAO;REGULAR;SILVIO NAME JUNIOR;GOVERNADOR ANDRE FRANCO MONTORO;DECOLAGEM;REGULAR;NENHUM;0
81366;PSJCB;Sem Categoria;AVIAO;AIR TRACTOR;AT402B;Nao Informado;TURBOELICE;SEM TRACAO;3175;3175;0;0;BRASIL;BRASIL;AVIAO;AGRICOLA;JUINA;AERODROMO NAO CADASTRADO;CRUZEIRO;PRIVADA;DESTRUIDA;2
82033;PSGPG;Sem Categoria;AVIAO;CIA AERONAUTICA PAULISTA;CAP-4;PAUL;Nao Informado;MONOMOTOR;587;587;0;0;BRASIL;BRASIL;AVIAO;REGULAR;ANTONIO CARLOS JOBIM / GALEAO;GOVERNADOR ANDRE FRANCO MONTORO;CRUZEIRO;REGULAR;NENHUM;0
82032;PRGGL;Sem Categoria;AVIAO;BOEING COMPANY;737-8EH;B738;JATO;BIMOTOR;70533;70533;197;2009;BRASIL;BRASIL;AVIAO;REGULAR;SANTOS DUMONT;CONGONHAS;APROXIMACAO FINAL;REGULAR;NENHUM;0
